source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'The Daily Caller'}",Mariane Angela,US Cyber Authorities Call For Immediate iOS Update For Millions Of Apple Users,U.S. cyber authorities have issued an urgent call for millions of Apple users to immediately update their devices to iOS 17.6 released Monday.,https://dailycaller.com/2024/07/30/us-cyber-authorities-ios-update-apple-users/,https://cdn01.dailycaller.com/wp-content/uploads/2024/07/GettyImages-1947563857-scaled-e1722382500684.jpg,2024-07-30T23:48:08Z,"Readers,
Instead of sucking up to the political and corporate powers that dominate America, The Daily Caller is fighting for you our readers. We humbly ask you to consider joining us in this fight.… [+3541 chars]"
"{'id': None, 'name': 'Forbes'}","Zak Doffman, Contributor, 
 Zak Doffman, Contributor
 https://www.forbes.com/sites/zakdoffman/",Google Warns 3 Billion Chrome Users—No New Update For Tracking ‘Nightmare’,A harsh reality check for Chrome users after Google’s shock decision.,https://www.forbes.com/sites/zakdoffman/2024/07/30/google-chrome-warning-3-billion-microsoft-windows-10-windows-11-android-users/,"https://imageio.forbes.com/specials-images/imageserve/60c33f39d390197fa0861833/0x0.jpg?format=jpg&crop=1149,765,x857,y472,safe&height=900&width=1600&fit=bounds",2024-07-30T23:45:00Z,"No news is sometimes bad news
NurPhoto via Getty Images
Forget iPhone 16 and iOS 18, perhaps the most impressive thing to come from Apple this year will be its unnerving sense of timing. No sooner … [+4525 chars]"
"{'id': None, 'name': 'CinemaBlend'}",Caroline Young,Matt Damon Knows People Think Jesse Plemons Is His Celeb Look-Alike. One Moment Even He Had To Admit It's True,Matt Damon apparently agrees that Jesse Plemons looks like him and reveals that the resemblance was more uncanny over 20 years ago.,https://www.cinemablend.com/movies/matt-damon-knows-people-think-jesse-plemons-celeb-look-alike-one-moment-admit-true,https://cdn.mos.cms.futurecdn.net/6LdzUL6YX3UTQCzgmPWnD6-1200-80.png,2024-07-30T23:39:15Z,"Matt Damon arguably has one of the most recognizable faces in Hollywood. After catapulting to fame after starring in Good Will Hunting, movies like the JasonBourne franchise, Saving Private Ryan and … [+4376 chars]"
"{'id': 'news-com-au', 'name': 'News.com.au'}",Caroline Blair – Page Six,Jennifer Aniston seen crying on the street while filming in New York,Jennifer Aniston was photographed crying and looking shocked while filming Season 4 of The Morning Show.,https://www.news.com.au/entertainment/celebrity-life/celebrity-photos/jennifer-aniston-seen-crying-on-the-street-while-filming-in-new-york/news-story/7ecb0330028c5b0f9029113bbb0a0003,https://content.api.news/v3/images/bin/2fa1e7cd134759fcc69e7249a4ab1b0c,2024-07-30T23:38:00Z,"Jennifer Aniston was photographed crying and looking shocked while filming Season 4 of The Morning Show.
The Friends star appeared on the red carpet-draped stairs of the New York Public Library on h… [+1917 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TNN,Tatas drop plan to buy India business of Vivo,"India Business News: NEW DELHI: Tata group's bid to acquire a majority stake in Chinese smartphone giant Vivo's India business may have stalled after objections by Apple, .",https://timesofindia.indiatimes.com/business/india-business/tatas-drop-plan-to-buy-india-business-of-vivo/articleshow/112151021.cms,"https://static.toiimg.com/thumb/msid-112151039,width-1070,height-580,imgsize-33336,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2024-07-30T23:37:47Z,"FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now"
"{'id': None, 'name': 'Electrek'}",Jo Borrás,"Massive Tesla recall, massive self-driving haul truck, and a massive new wind farm","In today’s massive new episode of Quick Charge, Tesla issues a massive 1.8 million EV recall to keep their hoods from flying open, Liebherr puts out a massive, 264-ton electric haul truck, and a massive 2.2 MW wind farm gets one step closer to reality.



 mo…",http://electrek.co/2024/07/30/massive-tesla-recall-massive-self-driving-haul-truck-and-a-massive-new-wind-farm/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2024/07/BYD-Yangwang-U9-supercar-4.png?resize=1200%2C628&quality=82&strip=all&ssl=1,2024-07-30T23:37:16Z,"In today’s massive new episode of Quick Charge, Tesla issues a massive 1.8 million EV recall to keep their hoods from flying open, Liebherr puts out a massive, 264-ton electric haul truck, and a mass… [+870 chars]"
"{'id': None, 'name': 'UPROXX'}",Flisadam,"Polo G’s Long-Awaited Album, ‘Hood Poet,’ Finally Has An Official Release Date After Nearly A Year Of Delays","Getty Image

The wait is almost over.",https://uproxx.com/music/polo-g-hood-poet-release-date-announcement/,https://uproxx.com/wp-content/uploads/2023/02/polo-g-GRID.jpg?w=710,2024-07-30T23:29:24Z,"Unfortunately, due to ongoing legal woes, Polo G hasn’t been able to fulfill a promise him made to fans back in August 2023. Well, that’s until now. After several unforeseen delays, the “Sorrys &amp;… [+1164 chars]"
"{'id': None, 'name': 'iMore'}",heyimjoew@gmail.com (Joe Wituschek),Apple has found another supplier to make displays for the iPhone SE 4,LG Display will be Apple's secondary display supplier for the iPhone SE 4.,https://www.imore.com/iphone/apple-has-found-another-supplier-to-make-displays-for-the-iphone-se-4,https://cdn.mos.cms.futurecdn.net/6y9C3SUNfBQ8pKw45rFuoi-1200-80.png,2024-07-30T23:28:02Z,The rumors of the iPhone SE 4 continue to swirl and the latest information makes it seem like Apple is expecting enough demand for the low-cost model that it's bringing in more than one display suppl… [+1832 chars]
"{'id': None, 'name': 'Investing.com'}",Investing.com,Earnings call: NexPoint Residential revealed a net income of $10.6 million,Earnings call: NexPoint Residential revealed a net income of $10.6 million,https://www.investing.com/news/stock-market-news/earnings-call-nexpoint-residential-revealed-a-net-income-of-106-million-93CH-3544898,https://i-invdn-com.investing.com/news/LYNXNPEC3B0CQ_L.jpg,2024-07-30T23:21:37Z,"NexPoint Residential Trust, Inc. (NYSE:NXRT) has announced its financial results for the second quarter of 2024, revealing a net income of $10.6 million, or $0.40 per diluted share, on total revenue … [+23809 chars]"
"{'id': None, 'name': 'GameSpot'}",Steven Petite,"Apple AirPods Back On Sale At Amazon For Only $70, But Probably Not For Long","Apple AirPods are back on sale for only $70 at Amazon and Best Buy, which matches the best price offered during Prime Day 2024 earlier this month. Normally $129, this deal knocks $59 off the price of the second-generation AirPods. Best Buy listed the deal fir…",https://www.gamespot.com/articles/apple-airpods-back-on-sale-at-amazon-for-only-70-but-probably-not-for-long/1100-6519008/,https://www.gamespot.com/a/uploads/screen_kubrick/1601/16018044/4218210-airpods.jpg,2024-07-30T23:19:00Z,"Apple AirPods are back on sale for only $70 at Amazon and Best Buy, which matches the best price offered during Prime Day 2024 earlier this month. Normally $129, this deal knocks $59 off the price of… [+2008 chars]"
